City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
253,Talnakh,RU,2020-01-02 19:33:33,69.49,88.39,-2.2,77,100,17.9
254,Mahebourg,MU,2020-01-02 19:33:33,-20.41,57.7,78.8,88,75,3.36
255,Chahal,GT,2020-01-02 19:33:33,15.75,-89.57,83.68,53,0,4.03
256,Teguise,ES,2020-01-02 19:33:33,29.06,-13.56,60.8,41,100,9.17
257,Kavaratti,IN,2020-01-02 19:33:33,10.57,72.64,81.46,81,62,13.96
258,Valdivia,CL,2020-01-02 19:33:34,-39.81,-73.25,86.0,37,0,6.93
259,Portland,US,2020-01-02 19:32:04,43.66,-70.25,39.99,59,40,8.05
260,San Quintin,PH,2020-01-02 19:32:35,17.54,120.52,66.36,81,12,5.73
261,Leh,IN,2020-01-02 19:33:35,34.16,77.58,-1.16,43,36,2.42
262,Tezu,IN,2020-01-02 19:33:35,27.93,96.16,55.99,93,100,1.54
263,Okato,NZ,2020-01-02 19:33:35,-39.19,173.88,63.0,82,10,15.01
264,Gimli,CA,2020-01-02 19:30:04,50.63,-96.99,18.0,91,73,3.0
265,Teguldet,RU,2020-01-02 19:33:36,57.31,88.17,27.57,95,100,11.1
266,Yarmouth,CA,2020-01-02 19:33:36,43.84,-66.12,37.99,64,75,14.99
267,Longyearbyen,NO,2020-01-02 19:33:36,78.22,15.63,5.0,54,0,13.87
268,Manokwari,ID,2020-01-02 19:33:37,-0.87,134.08,74.57,81,100,2.75
269,Lorengau,PG,2020-01-02 19:33:37,-2.02,147.27,84.51,72,100,5.86
270,Iqaluit,CA,2020-01-02 19:28:50,63.75,-68.52,10.4,85,90,3.36
271,Half Moon Bay,US,2020-01-02 19:33:37,37.46,-122.43,60.01,76,1,10.29
272,Tsogni,GA,2020-01-02 19:33:38,-2.79,10.1,81.95,83,100,4.88
273,Lazaro Cardenas,MX,2020-01-02 19:33:38,28.39,-105.62,53.6,30,90,8.05
274,Iberia,PE,2020-01-02 19:33:38,-11.41,-69.49,71.78,99,100,0.34
275,Sur,OM,2020-01-02 19:33:38,22.57,59.53,69.19,59,73,8.57
276,Huainan,CN,2020-01-02 19:33:38,32.59,117.01,43.09,83,100,3.96
277,Kromeriz,CZ,2020-01-02 19:33:39,49.3,17.39,30.0,92,0,4.36
278,Ahipara,NZ,2020-01-02 19:32:38,-35.17,173.16,64.0,100,51,1.01
279,Shingu,JP,2020-01-02 19:33:39,33.72,135.99,48.79,75,0,14.52
280,Lebu,ET,2020-01-02 19:32:33,8.96,38.73,62.6,63,20,11.41
281,Omsk,RU,2020-01-02 19:33:40,54.99,73.37,33.8,98,75,13.42
282,Mayo,CA,2020-01-02 19:33:40,63.59,-135.9,6.8,71,40,6.93
283,Port Blair,IN,2020-01-02 19:29:00,11.67,92.75,81.5,76,0,11.34
284,Vitim,RU,2020-01-02 19:33:41,59.44,112.57,9.09,95,100,7.29
285,Montmagny,FR,2020-01-02 19:33:41,48.97,2.34,50.0,87,90,11.41
286,Sangar,RU,2020-01-02 19:33:41,63.92,127.47,-35.09,95,96,0.54
287,Cherskiy,RU,2020-01-02 19:33:42,68.75,161.3,-2.43,70,9,12.24
288,Nome,US,2020-01-02 19:33:42,30.04,-94.42,68.0,100,90,3.36
289,Ayagoz,KZ,2020-01-02 19:33:42,47.96,80.43,12.58,74,0,3.67
290,Mazatlan,MX,2020-01-02 19:32:22,23.22,-106.42,73.99,60,20,4.7
